[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Online-Payment-Details.php on line 11
[24-Feb-2023 09:46:49 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Online-Payment-Details.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Wallet-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
